"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","206","should display a toggle switch to enable multi-factor authentication","UserProfile","Sat Jan 17 00:44:47 UTC 2026","passed","Sat Jan 17 00:44:47 UTC 2026","","","",""
"","91","should display the logged in user's role","UserProfile","Sat Jan 17 00:44:46 UTC 2026","passed","Sat Jan 17 00:44:46 UTC 2026","","","",""
"Test cases for TestManagementResource_ListPermissions_InvalidFilterPredicate","0","TestManagementResource_ListPermissions_InvalidFilterPredicate","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_InvalidFilterPredicate","TestManagementResource_ListPermissions_InvalidFilterPredicate"
"","7","displays lastlogontimestamp cell as NEVER when the value is -1","ExploreTableDataCell","Sat Jan 17 00:46:21 UTC 2026","passed","Sat Jan 17 00:46:21 UTC 2026","","","",""
"Test cases for TestSeekToKey","1","TestSeekToKey","","Sat Jan 17 00:42:03 UTC 2026","passed","Sat Jan 17 00:42:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestSeekToKey","TestSeekToKey"
"","3","should recognize azure properties","validating a node property against the shared generated schema","Sat Jan 17 00:44:01 UTC 2026","passed","Sat Jan 17 00:44:01 UTC 2026","","","",""
"","0","A type was provided but no keyword follows the typed filter","Getting the text for the disabled item display for a search when there are no results","Sat Jan 17 00:45:06 UTC 2026","passed","Sat Jan 17 00:45:06 UTC 2026","","Empty data states","",""
"Test cases for TestResources_DeleteSavedQuery_DeleteError","0","TestResources_DeleteSavedQuery_DeleteError","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_DeleteError","TestResources_DeleteSavedQuery_DeleteError"
"Test cases for TestGC_Name","0","TestGC_Name","","Sat Jan 17 00:41:56 UTC 2026","passed","Sat Jan 17 00:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/gc/TestGC_Name","TestGC_Name"
"","290","Toggles node and edge labels on/off depending on their existing state","GraphControls","Sat Jan 17 00:43:28 UTC 2026","passed","Sat Jan 17 00:43:29 UTC 2026","","Toggling labels","",""
"Test cases for Test_filterNodesToSearchResult","0","Test_filterNodesToSearchResult","","Sat Jan 17 00:42:00 UTC 2026","passed","Sat Jan 17 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_filterNodesToSearchResult","Test_filterNodesToSearchResult"
"","6","sets autoDisplayTable to false if query type is node","useExploreTableAutoDisplay","Sat Jan 17 00:46:02 UTC 2026","passed","Sat Jan 17 00:46:02 UTC 2026","","","",""
"","7","renders the ZoneSelector when available and on a Zone page","TagSelector","Sat Jan 17 00:45:16 UTC 2026","passed","Sat Jan 17 00:45:16 UTC 2026","","","",""
"Test cases for TestWriteErrorResponse_V2","0","TestWriteErrorResponse_V2","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteErrorResponse_V2","TestWriteErrorResponse_V2"
"Test cases for TestDatabase_checkError_OtherError","0","TestDatabase_checkError_OtherError","","Sat Jan 17 00:41:57 UTC 2026","passed","Sat Jan 17 00:41:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestDatabase_checkError_OtherError","TestDatabase_checkError_OtherError"
"","82","prevents a user from proceeding if the file is not valid","File Upload","Sat Jan 17 00:44:32 UTC 2026","passed","Sat Jan 17 00:44:32 UTC 2026","","","",""
"","92","initializes search tab to the exploreSearchTab on initial render","ExploreSearch sets searchType on tab changing","Sat Jan 17 00:47:34 UTC 2026","passed","Sat Jan 17 00:47:34 UTC 2026","","","",""
"Test cases for TestResources_UpdateAssetGroupSelectors_GetAssetGroupError","1","TestResources_UpdateAssetGroupSelectors_GetAssetGroupError","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupSelectors_GetAssetGroupError","TestResources_UpdateAssetGroupSelectors_GetAssetGroupError"
"","328","Selecting an edge with a Computer target node that haslaps is enabled shows correct Windows Abuse text","EdgeInfoContent","Sat Jan 17 00:43:05 UTC 2026","passed","Sat Jan 17 00:43:06 UTC 2026","","","",""
"","515","should display Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and user role is selected","CreateUserForm","Sat Jan 17 00:43:21 UTC 2026","passed","Sat Jan 17 00:43:22 UTC 2026","","","",""
"","4","returns a function that takes a key found in updatedParams and updates the searchParams with that matching value from updatedParams","searchParams","Sat Jan 17 00:45:36 UTC 2026","passed","Sat Jan 17 00:45:36 UTC 2026","","setSingleParamFactory","",""
"","0","The user has yet to type into the search","Getting the text for the disabled item display for a search when there are no results","Sat Jan 17 00:45:06 UTC 2026","passed","Sat Jan 17 00:45:06 UTC 2026","","Empty data states","",""
"","159","renders an interactive version when preview is set to false","Cypher Search component for Zone Management","Sat Jan 17 00:45:20 UTC 2026","passed","Sat Jan 17 00:45:20 UTC 2026","","","",""
"","1917","should clear out the sso provider id from submission data when the authentication method is changed","UpdateUserDialog","Sat Jan 17 00:43:22 UTC 2026","passed","Sat Jan 17 00:43:24 UTC 2026","","","",""
"","818","should not allow the input to exceed the allowed length","UpdateUserForm","Sat Jan 17 00:42:56 UTC 2026","passed","Sat Jan 17 00:42:57 UTC 2026","","","",""
"","345","renders","ObjectsAccordion","Sat Jan 17 00:45:02 UTC 2026","passed","Sat Jan 17 00:45:03 UTC 2026","","","",""
"Test cases for TestBuildErrorResponseInternalServerError","0","TestBuildErrorResponseInternalServerError","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseInternalServerError","TestBuildErrorResponseInternalServerError"
"","211","toggles a child on","SourceKindsCheckboxes","Sat Jan 17 00:44:23 UTC 2026","passed","Sat Jan 17 00:44:24 UTC 2026","","","",""
"","309","renders a non-primary button as expected","DropdownSelector","Sat Jan 17 00:45:56 UTC 2026","passed","Sat Jan 17 00:45:56 UTC 2026","","","",""
"","266","Trying to view the edge info does not crash the app when selecting an unrecognized edge","EdgeInfoContent","Sat Jan 17 00:43:05 UTC 2026","passed","Sat Jan 17 00:43:05 UTC 2026","","","",""
"","1374","should open edge filtering dialog","EdgeFilter","Sat Jan 17 00:44:45 UTC 2026","passed","Sat Jan 17 00:44:46 UTC 2026","","","",""
"Test cases for TestLoginFailure","1","TestLoginFailure","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginFailure","TestLoginFailure"
"","315","should call onClose when the Close button is clicked","UpsertSAMLProviderForm","Sat Jan 17 00:45:54 UTC 2026","passed","Sat Jan 17 00:45:54 UTC 2026","","","",""
"Test cases for TestExpireUserAuthSecret_Failure","0","TestExpireUserAuthSecret_Failure","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestExpireUserAuthSecret_Failure","TestExpireUserAuthSecret_Failure"
"","12","will update the selected filters based on the values stored in query params when the initialize function is called","usePathfindingFilters","Sat Jan 17 00:46:30 UTC 2026","passed","Sat Jan 17 00:46:30 UTC 2026","","","",""
"","1","reports an API error when the name for the rule is not unique","handleError","Sat Jan 17 00:45:39 UTC 2026","passed","Sat Jan 17 00:45:39 UTC 2026","","","",""
"Test cases for Test_ParseSortParameters","0","Test_ParseSortParameters","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_ParseSortParameters","Test_ParseSortParameters"
"","92","displays the value thats passed via children","CodeController","Sat Jan 17 00:46:48 UTC 2026","passed","Sat Jan 17 00:46:48 UTC 2026","","","",""
"Test cases for TestManagementResource_UpdateUser_ETAC","1879","TestManagementResource_UpdateUser_ETAC","","Sat Jan 17 00:42:17 UTC 2026","passed","Sat Jan 17 00:42:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_ETAC","TestManagementResource_UpdateUser_ETAC"
"Test cases for TestIntEqual","0","TestIntEqual","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntEqual","TestIntEqual"
"","249","displays validation error messages when Save button is clicked and no form input is provided","PasswordDialog","Sat Jan 17 00:43:08 UTC 2026","passed","Sat Jan 17 00:43:08 UTC 2026","","","",""
"Test cases for TestIntIsZero","0","TestIntIsZero","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntIsZero","TestIntIsZero"
"","0","returns true if value is ''","searchParams","Sat Jan 17 00:45:36 UTC 2026","passed","Sat Jan 17 00:45:36 UTC 2026","","isEmptyParam","",""
"","64","returns true when nodes are available","useGraphHasData","Sat Jan 17 00:46:31 UTC 2026","passed","Sat Jan 17 00:46:31 UTC 2026","","","",""
"","215","closes","ListItemActionMenu","Sat Jan 17 00:45:37 UTC 2026","passed","Sat Jan 17 00:45:37 UTC 2026","","","",""
"Test cases for TestRoleAssignments_UsersWithoutRoles","0","TestRoleAssignments_UsersWithoutRoles","","Sat Jan 17 00:42:09 UTC 2026","passed","Sat Jan 17 00:42:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestRoleAssignments_UsersWithoutRoles","TestRoleAssignments_UsersWithoutRoles"
"","1","returns numbers as strings","numberFormatting","Sat Jan 17 00:46:51 UTC 2026","passed","Sat Jan 17 00:46:51 UTC 2026","","","",""
"","0","fails for password shorter than 12 characters","testPassword","Sat Jan 17 00:47:03 UTC 2026","passed","Sat Jan 17 00:47:03 UTC 2026","","","",""
"Test cases for TestQueries_GetEntityObjectIDFromRequestPath","0","TestQueries_GetEntityObjectIDFromRequestPath","","Sat Jan 17 00:42:00 UTC 2026","passed","Sat Jan 17 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_GetEntityObjectIDFromRequestPath","TestQueries_GetEntityObjectIDFromRequestPath"
"","1","will return a list of values","Formatting list properties","Sat Jan 17 00:44:01 UTC 2026","passed","Sat Jan 17 00:44:01 UTC 2026","","","",""
"","1","handles unix time values by converting them to our standard date display format","Formatting number properties","Sat Jan 17 00:44:01 UTC 2026","passed","Sat Jan 17 00:44:01 UTC 2026","","","",""
"Test cases for TestChangeCache","1","TestChangeCache","","Sat Jan 17 00:41:55 UTC 2026","passed","Sat Jan 17 00:41:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestChangeCache","TestChangeCache"
"Test cases for TestResources_ListADEntityRDPRights","1","TestResources_ListADEntityRDPRights","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityRDPRights","TestResources_ListADEntityRDPRights"
"Test cases for TestNormalizeToUTF8_ReaderError","0","TestNormalizeToUTF8_ReaderError","","Sat Jan 17 00:42:09 UTC 2026","passed","Sat Jan 17 00:42:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestNormalizeToUTF8_ReaderError","TestNormalizeToUTF8_ReaderError"
"Test cases for TestResources_ListADComputerDCOMUsers","2","TestResources_ListADComputerDCOMUsers","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerDCOMUsers","TestResources_ListADComputerDCOMUsers"
"","346","Displays a modal after clicking Analyze Now button and run analysis after clicking confirm","AnalyzeNowConfiguration","Sat Jan 17 00:44:04 UTC 2026","passed","Sat Jan 17 00:44:04 UTC 2026","","","",""
"Test cases for TestDatabase_NullUUID","0","TestDatabase_NullUUID","","Sat Jan 17 00:41:57 UTC 2026","passed","Sat Jan 17 00:41:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestDatabase_NullUUID","TestDatabase_NullUUID"
"","1","The node radius is adjusted to take into account the current camera zoom ratio","getNodeRadius","Sat Jan 17 00:48:04 UTC 2026","passed","Sat Jan 17 00:48:04 UTC 2026","","","",""
"","743","should render a SaveQueryDialog","SaveQueryDialog","Sat Jan 17 00:42:49 UTC 2026","passed","Sat Jan 17 00:42:49 UTC 2026","","","",""
"","2191","should remove the option from the changelog when the corresponding button is clicked","AssetGroupEdit","Sat Jan 17 00:45:28 UTC 2026","passed","Sat Jan 17 00:45:30 UTC 2026","","","",""
"","529","renders correctly with requiresCurrentPassword false","PasswordDialog","Sat Jan 17 00:43:07 UTC 2026","passed","Sat Jan 17 00:43:08 UTC 2026","","","",""
"Test cases for TestAuthExtensions","3","TestAuthExtensions","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestAuthExtensions","TestAuthExtensions"
"Test cases for TestStringFromPtr","0","TestStringFromPtr","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringFromPtr","TestStringFromPtr"
"","34","is disabled if no filters are active","AssetGroupEdit","Sat Jan 17 00:43:46 UTC 2026","passed","Sat Jan 17 00:43:46 UTC 2026","","Clear Filters button","",""
"","0","fails for password without digits","testPassword","Sat Jan 17 00:47:03 UTC 2026","passed","Sat Jan 17 00:47:03 UTC 2026","","","",""
"","461","filters by the selected status","FileIngestFilterDialog","Sat Jan 17 00:43:33 UTC 2026","passed","Sat Jan 17 00:43:34 UTC 2026","","Status Select","",""
"Test cases for TestWriteResultRawJson","0","TestWriteResultRawJson","","Sat Jan 17 00:42:06 UTC 2026","passed","Sat Jan 17 00:42:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestWriteResultRawJson","TestWriteResultRawJson"
"","62","returns a list of the users current permissions","usePermissions","Sat Jan 17 00:43:54 UTC 2026","passed","Sat Jan 17 00:43:54 UTC 2026","","","",""
"","0","returns true if arrays have same content in different order","areArraysSimilar","Sat Jan 17 00:46:43 UTC 2026","passed","Sat Jan 17 00:46:43 UTC 2026","","","",""
"Test cases for TestJSONFloat_UnmarshalJSON_NaN","1","TestJSONFloat_UnmarshalJSON_NaN","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/nan/TestJSONFloat_UnmarshalJSON_NaN","TestJSONFloat_UnmarshalJSON_NaN"
"Test cases for TestParseLimitQueryParameter","0","TestParseLimitQueryParameter","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseLimitQueryParameter","TestParseLimitQueryParameter"
"Test cases for TestResources_UpdateSavedQuery_AdminPublicQuery_Success","0","TestResources_UpdateSavedQuery_AdminPublicQuery_Success","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_AdminPublicQuery_Success","TestResources_UpdateSavedQuery_AdminPublicQuery_Success"
"","427","should call onClose when cancel button is clicked","SaveQueryDialog","Sat Jan 17 00:42:50 UTC 2026","passed","Sat Jan 17 00:42:51 UTC 2026","","","",""
"","364","on clicking switch shows modal and when clicking cancel closes it and switch stays disabled","CitrixRDPConfiguration","Sat Jan 17 00:43:50 UTC 2026","passed","Sat Jan 17 00:43:51 UTC 2026","","Click on switch to enable","",""
"","410","calls handleFilterChange when a node type is selected","AssetGroupEdit","Sat Jan 17 00:43:45 UTC 2026","passed","Sat Jan 17 00:43:46 UTC 2026","","Node Type dropdown filter","",""
"Test cases for TestResources_ListADDomainContainedUsers","0","TestResources_ListADDomainContainedUsers","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainContainedUsers","TestResources_ListADDomainContainedUsers"
"Test cases for TestResources_CreateSavedQuery_NotAUserAuth","0","TestResources_CreateSavedQuery_NotAUserAuth","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery_NotAUserAuth","TestResources_CreateSavedQuery_NotAUserAuth"
"","5","The data is loading","Getting the text for the disabled item display for a search when there are no results","Sat Jan 17 00:45:06 UTC 2026","passed","Sat Jan 17 00:45:06 UTC 2026","","Loading states","",""
"Test cases for TestManagementResource_ListAuthTokens_InvalidFilterPredicate","1","TestManagementResource_ListAuthTokens_InvalidFilterPredicate","","Sat Jan 17 00:42:19 UTC 2026","passed","Sat Jan 17 00:42:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_InvalidFilterPredicate","TestManagementResource_ListAuthTokens_InvalidFilterPredicate"
"Test cases for TestResources_GetRootCAEntityInfo","171","TestResources_GetRootCAEntityInfo","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetRootCAEntityInfo","TestResources_GetRootCAEntityInfo"
"Test cases for TestManagementResource_ListUsers_Filtered","0","TestManagementResource_ListUsers_Filtered","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers_Filtered","TestManagementResource_ListUsers_Filtered"
"","102","renders a button when actor is not BloodHoundString and note exists","NoteCell component","Sat Jan 17 00:45:46 UTC 2026","passed","Sat Jan 17 00:45:46 UTC 2026","","","",""
"","234","sets secondarySearch=id and searchType=node when primarySearch is falsey","ContextMenu","Sat Jan 17 00:47:41 UTC 2026","passed","Sat Jan 17 00:47:42 UTC 2026","","","",""
"","220","calls onToggleEdgeLabels when click show all edge labels","GraphControls","Sat Jan 17 00:43:27 UTC 2026","passed","Sat Jan 17 00:43:28 UTC 2026","","Toggling labels","",""
"","8","displays lastlogontimestamp cell as UNKNOWN when the value is 0","ExploreTableDataCell","Sat Jan 17 00:46:21 UTC 2026","passed","Sat Jan 17 00:46:21 UTC 2026","","","",""
"Test cases for TestManagementResource_DeleteUser_DeleteUserError","751","TestManagementResource_DeleteUser_DeleteUserError","","Sat Jan 17 00:42:15 UTC 2026","passed","Sat Jan 17 00:42:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_DeleteUserError","TestManagementResource_DeleteUser_DeleteUserError"
"Test cases for TestGetADDataQualityStats_Failure","0","TestGetADDataQualityStats_Failure","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetADDataQualityStats_Failure","TestGetADDataQualityStats_Failure"
"Test cases for TestUnmarshalInt","0","TestUnmarshalInt","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt","TestUnmarshalInt"
"","70","clears selected if same note is clicked again","NoteCell component","Sat Jan 17 00:45:46 UTC 2026","passed","Sat Jan 17 00:45:46 UTC 2026","","","",""
"","254","Selecting an edge with a Computer target node that does not have haslaps enabled shows correct Windows Abuse text","EdgeInfoContent","Sat Jan 17 00:43:06 UTC 2026","passed","Sat Jan 17 00:43:06 UTC 2026","","","",""
"","204","should not render list items for domains that are not collected","Context Selector","Sat Jan 17 00:43:13 UTC 2026","passed","Sat Jan 17 00:43:13 UTC 2026","","","",""
"Test cases for TestPasswordValidator","0","TestPasswordValidator","","Sat Jan 17 00:42:07 UTC 2026","passed","Sat Jan 17 00:42:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/validation/TestPasswordValidator","TestPasswordValidator"
"","0","returns false if arrays have different elements","areArraysSimilar","Sat Jan 17 00:46:43 UTC 2026","passed","Sat Jan 17 00:46:43 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_GetSavedQueryError","0","TestResources_UpdateSavedQuery_GetSavedQueryError","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_GetSavedQueryError","TestResources_UpdateSavedQuery_GetSavedQueryError"
"","43","should should reflect the NOT checked state for public query","SavedQueryPermissions","Sat Jan 17 00:45:26 UTC 2026","passed","Sat Jan 17 00:45:26 UTC 2026","","","",""
"Test cases for TestGetOrderForNeo4jQuery","0","TestGetOrderForNeo4jQuery","","Sat Jan 17 00:42:06 UTC 2026","passed","Sat Jan 17 00:42:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetOrderForNeo4jQuery","TestGetOrderForNeo4jQuery"
"","145","respects openIndex (default opened panel)","<DetailsAccordion />","Sat Jan 17 00:43:35 UTC 2026","passed","Sat Jan 17 00:43:35 UTC 2026","","","",""
"Test cases for TestManagementResource_SSOLoginHandler","7","TestManagementResource_SSOLoginHandler","","Sat Jan 17 00:42:29 UTC 2026","passed","Sat Jan 17 00:42:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SSOLoginHandler","TestManagementResource_SSOLoginHandler"
"Test cases for TestDummyHA","0","TestDummyHA","","Sat Jan 17 00:41:55 UTC 2026","passed","Sat Jan 17 00:41:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestDummyHA","TestDummyHA"
"Test cases for TestManagementResource_UpdateUser_UserSelfModify","779","TestManagementResource_UpdateUser_UserSelfModify","","Sat Jan 17 00:42:12 UTC 2026","passed","Sat Jan 17 00:42:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_UserSelfModify","TestManagementResource_UpdateUser_UserSelfModify"
"","442","handles removing from a tier zero asset group","AssetGroupMenuItem","Sat Jan 17 00:47:32 UTC 2026","passed","Sat Jan 17 00:47:32 UTC 2026","","removing from an asset group","",""
"Test cases for TestHeaderMatches","0","TestHeaderMatches","","Sat Jan 17 00:42:06 UTC 2026","passed","Sat Jan 17 00:42:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestHeaderMatches","TestHeaderMatches"
"Test cases for Test_formatSearchResults_sorting","0","Test_formatSearchResults_sorting","","Sat Jan 17 00:42:00 UTC 2026","passed","Sat Jan 17 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_formatSearchResults_sorting","Test_formatSearchResults_sorting"
"","0","returns undefined if graphData is %s or not a GraphResponse","getExploreTableData","Sat Jan 17 00:44:58 UTC 2026","passed","Sat Jan 17 00:44:58 UTC 2026","","","",""
"Test cases for TestInt64Scan","0","TestInt64Scan","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64Scan","TestInt64Scan"
"","61","button is disabled when note is falsy","NoteCell component","Sat Jan 17 00:45:46 UTC 2026","passed","Sat Jan 17 00:45:46 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthProviders","1","TestManagementResource_ListAuthProviders","","Sat Jan 17 00:42:29 UTC 2026","passed","Sat Jan 17 00:42:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthProviders","TestManagementResource_ListAuthProviders"
"","451","renders the form for creating a new zone","Tag Form","Sat Jan 17 00:42:49 UTC 2026","passed","Sat Jan 17 00:42:49 UTC 2026","","","",""
"","3","formats the date string","toFormatted","Sat Jan 17 00:46:20 UTC 2026","passed","Sat Jan 17 00:46:20 UTC 2026","","","",""
"Test cases for TestResources_DeleteSavedQuery_UserNotAdmin","0","TestResources_DeleteSavedQuery_UserNotAdmin","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_UserNotAdmin","TestResources_DeleteSavedQuery_UserNotAdmin"
"Test cases for TestGetLatestQueryParameter","0","TestGetLatestQueryParameter","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetLatestQueryParameter","TestGetLatestQueryParameter"
"","766","should open save dialog on keyboard press alt+S","CypherSearch","Sat Jan 17 00:45:04 UTC 2026","passed","Sat Jan 17 00:45:05 UTC 2026","","","",""
"","13","navigates to the specified route with global params intact when triggered by a splat route","AppNavigate","Sat Jan 17 00:45:50 UTC 2026","passed","Sat Jan 17 00:45:50 UTC 2026","","","",""
"Test cases for TestManagementResource_ListPermissions_SortingError","0","TestManagementResource_ListPermissions_SortingError","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_SortingError","TestManagementResource_ListPermissions_SortingError"
"Test cases for TestAssetGroupMembers_SortBy","0","TestAssetGroupMembers_SortBy","","Sat Jan 17 00:41:44 UTC 2026","passed","Sat Jan 17 00:41:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestAssetGroupMembers_SortBy","TestAssetGroupMembers_SortBy"
"","197","shows a loading state","FileIngestTable","Sat Jan 17 00:44:36 UTC 2026","passed","Sat Jan 17 00:44:36 UTC 2026","","","",""
"Test cases for TestManagementResource_ListUsers_SortingError","0","TestManagementResource_ListUsers_SortingError","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers_SortingError","TestManagementResource_ListUsers_SortingError"
"","0","returns paramValue as EnvironmentAggregation if paramValue is all","useEnvironmentParams","Sat Jan 17 00:47:02 UTC 2026","passed","Sat Jan 17 00:47:02 UTC 2026","","parseEnvironmentAggregation","",""
"","39","shows the direct object empty and expanded object list empty, when no results in both","Seed Selection Results","Sat Jan 17 00:43:59 UTC 2026","passed","Sat Jan 17 00:44:00 UTC 2026","","","",""
"","74","calls getAssetGroupTags for topTagId","DetailsRoot","Sat Jan 17 00:47:07 UTC 2026","passed","Sat Jan 17 00:47:07 UTC 2026","","","",""
